Product_Name_Extracted,Price,Type,Source,Product_Name_Clean,Price_Numeric
"Samsung Galaxy S26 5G (Black, 12GB RAM, 256GB Storage), AI Phone, Photo Assist, Creative Studio, 50MP Camera with ProVisual Engine, Powerful Customized Processor and 4300mAh Battery","87,999",Mobile,Amazon,samsung galaxy s26 5g black 12gb ram 256gb storage ai phone photo assist creative studio 50mp camera with provisual engine powerful customized processor and 4300mah battery,87999.0
"Samsung Galaxy S26 Ultra 5G (Black, 12GB RAM, g512GB Storae) with Built-in Privacy Display, AI Phone, Photo Assist, Creative Studio, 200MP Camera, 5000mAh Battery and Snapdragon 8 Elite Gen 5","1,59,999",Mobile,Amazon,samsung galaxy s26 ultra 5g black 12gb ram g512gb storae with builtin privacy display ai phone photo assist creative studio 200mp camera 5000mah battery and snapdragon 8 elite gen 5,159999.0
"Redmi A4 5G (Sparkle Purple, 4GB RAM, 128GB Storage) | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging | Charger in the Box","11,999",Mobile,Amazon,redmi a4 5g sparkle purple 4gb ram 128gb storage segment largest 688in 120hz 50mp dual camera 18w fast charging charger in the box,11999.0
"iQOO Z11x 5G (Prismatic Green, 6GB RAM, 128 GB Storage) | Dimensity 7400-Turbo Processor | 7200 mAh Battery Smartphone | Powered by OriginOS 6","18,998",Mobile,Amazon,iqoo z11x 5g prismatic green 6gb ram 128 gb storage dimensity 7400turbo processor 7200 mah battery smartphone powered by originos 6,18998.0
"Samsung Galaxy M06 5G Mobile (Blazing Black, 6GB RAM, 128GB Storage) | MediaTek Dimensity 6300 | AnTuTu 623K+ | 12 5G Bands | 25W Fast Charging | 4 Gen OS Upgrades | 50MP Camera | Without Charger","11,999",Mobile,Amazon,samsung galaxy m06 5g mobile blazing black 6gb ram 128gb storage mediatek dimensity 6300 antutu 623k 12 5g bands 25w fast charging 4 gen os upgrades 50mp camera without charger,11999.0
"Samsung Galaxy M07 Mobile (Black, 4GB RAM, 64GB Storage) | MediaTek Helio G99 | AnTuTu 624K | IP54| 50MP Camera | 7.6mm Slim | 5000mAh Battery | 25W Fast Charging | 6 Gen OS Upgrades | Without Charger","7,999",Mobile,Amazon,samsung galaxy m07 mobile black 4gb ram 64gb storage mediatek helio g99 antutu 624k ip54 50mp camera 76mm slim 5000mah battery 25w fast charging 6 gen os upgrades without charger,7999.0
"realme NARZO 90x 5G (Marine Blue,4GB+128GB) |7000mAh + 60W Biggest Battery & Fastest Charging in The Segment* | 144Hz Bright Display | Sony 50MP AI Rear Camera | AI Assist | 400% Ultra Boom Speaker","12,999",Mobile,Amazon,realme narzo 90x 5g marine blue4gb128gb 7000mah 60w biggest battery fastest charging in the segment 144hz bright display sony 50mp ai rear camera ai assist 400 ultra boom speaker,12999.0
"Samsung Galaxy M17e 5G Mobile (Blitz Blue, 6GB RAM, 128GB Storage) | Smoothest 120 Hz Refresh Rate| Monster 6000 mAh Battery | IP54 | 6 Gen OS Upgrades | AI | Gemini Live | Without Charger","15,499",Mobile,Amazon,samsung galaxy m17e 5g mobile blitz blue 6gb ram 128gb storage smoothest 120 hz refresh rate monster 6000 mah battery ip54 6 gen os upgrades ai gemini live without charger,15499.0
"Samsung Galaxy M17e 5G Mobile (Vibe Violet, 4GB RAM, 128GB Storage) | Smoothest 120 Hz Refresh Rate| Monster 6000 mAh Battery | IP54 | 6 Gen OS Upgrades | AI | Gemini Live | Without Charger","13,999",Mobile,Amazon,samsung galaxy m17e 5g mobile vibe violet 4gb ram 128gb storage smoothest 120 hz refresh rate monster 6000 mah battery ip54 6 gen os upgrades ai gemini live without charger,13999.0
"iQOO Z10x 5G (Ultramarine, 6GB RAM, 128GB Storage) | 6500 mAh Large Capacity Battery | Dimensity 7300 Processor | Military-Grade Durability","16,998",Mobile,Amazon,iqoo z10x 5g ultramarine 6gb ram 128gb storage 6500 mah large capacity battery dimensity 7300 processor militarygrade durability,16998.0
